Date,Temperature
1/17/15 13:00,54.18
1/17/15 14:00,54.29
1/17/15 15:00,54.52
1/17/15 16:00,55.22
1/17/15 17:00,56.26
1/17/15 18:00,57.91
1/17/15 19:00,56.86
1/17/15 20:00,55.86
1/17/15 21:00,55.6
1/17/15 22:00,55.12
1/17/15 23:00,54.71
1/18/15 0:00,54.22
1/18/15 1:00,53.93
1/18/15 2:00,54.37
1/18/15 3:00,54.6
1/18/15 4:00,54.22
1/18/15 5:00,54.3
1/18/15 6:00,54.22
1/18/15 7:00,53.85
1/18/15 8:00,53.18
1/18/15 9:00,53.3
1/18/15 10:00,53.56
1/18/15 11:00,53.45
1/18/15 12:00,53.15
1/18/15 13:00,53.15
1/18/15 14:00,53.75
1/18/15 15:00,54.34
1/18/15 16:00,55.86
1/18/15 17:00,57.69
1/18/15 18:00,60.43
1/18/15 19:00,61.65
1/18/15 20:00,59.68
1/18/15 21:00,59.31
1/18/15 22:00,58.82
1/18/15 23:00,57.82
1/19/15 0:00,57.2
1/19/15 1:00,56.16
1/19/15 2:00,56.22
1/19/15 3:00,55.85
1/19/15 4:00,55.63
1/19/15 5:00,55.6
1/19/15 6:00,55.89
1/19/15 7:00,55.37
1/19/15 8:00,55.12
1/19/15 9:00,54.37
1/19/15 10:00,54.71
1/19/15 11:00,55.22
1/19/15 12:00,56.85
1/19/15 13:00,56.03
1/19/15 14:00,57.38
1/19/15 15:00,58.9
1/19/15 16:00,60.05
1/19/15 17:00,58.98
1/19/15 18:00,58.69
1/19/15 19:00,58.94
1/19/15 20:00,57.82
1/19/15 21:00,56.67
1/19/15 22:00,55.93
1/19/15 23:00,54.93
1/20/15 0:00,54.04
1/20/15 1:00,53.14
1/20/15 2:00,52.74
1/20/15 3:00,53.26
1/20/15 4:00,51.62
1/20/15 5:00,52.12
1/20/15 6:00,50.89
1/20/15 7:00,50.85
1/20/15 8:00,50.33
1/20/15 9:00,50.11
1/20/15 10:00,49.33
1/20/15 11:00,49.74
1/20/15 12:00,49.4
1/20/15 13:00,49.15
1/20/15 14:00,51.08
1/20/15 15:00,53.17
1/20/15 16:00,54.69
1/20/15 17:00,57.51
1/20/15 18:00,57.65
1/20/15 19:00,57.26
1/20/15 20:00,57.26
1/20/15 21:00,55.3
1/20/15 22:00,54.71
1/20/15 23:00,54.04
1/21/15 0:00,53.56
1/21/15 1:00,52.29
1/21/15 2:00,51.14
1/21/15 3:00,50.26
1/21/15 4:00,50
1/21/15 5:00,49.74
1/21/15 6:00,49.14
1/21/15 7:00,49.08
1/21/15 8:00,48.66
1/21/15 9:00,48.89
1/21/15 10:00,49.49
1/21/15 11:00,50.29
1/21/15 12:00,52.53
1/21/15 13:00,53.38
1/21/15 14:00,53.97
1/21/15 15:00,54.64
1/21/15 16:00,55.26
1/21/15 17:00,56.18
1/21/15 18:00,58.86
1/21/15 19:00,59.09
1/21/15 20:00,58.71
1/21/15 21:00,57.42
1/21/15 22:00,55.38
1/21/15 23:00,54.63
1/22/15 0:00,53.67
1/22/15 1:00,52.41
1/22/15 2:00,52.04
1/22/15 3:00,50.97
1/22/15 4:00,49.66
1/22/15 5:00,49.62
1/22/15 6:00,48.12
1/22/15 7:00,48
1/22/15 8:00,49.03
1/22/15 9:00,49.07
1/22/15 10:00,48.18
1/22/15 11:00,48.33
1/22/15 12:00,48.85
1/22/15 13:00,51.18
1/22/15 14:00,52.15
1/22/15 15:00,53.44
1/22/15 16:00,54.3
1/22/15 17:00,54.84
1/22/15 18:00,56.6
1/22/15 19:00,55.77
1/22/15 20:00,56.37
1/22/15 21:00,54.56
1/22/15 22:00,54.04
1/22/15 23:00,53.18
1/23/15 0:00,52.71
1/23/15 1:00,51.89
1/23/15 2:00,51.04
1/23/15 3:00,50.67
1/23/15 4:00,49.78
1/23/15 5:00,49.74
1/23/15 6:00,48.74
1/23/15 7:00,48.08
1/23/15 8:00,47.14
1/23/15 9:00,47.97
1/23/15 10:00,47.29
1/23/15 11:00,47
1/23/15 12:00,50.88
1/23/15 13:00,51.82
1/23/15 14:00,52.86
1/23/15 15:00,55.61
1/23/15 16:00,58.21
1/23/15 17:00,60.33
1/23/15 18:00,62.35
1/23/15 19:00,62.01
1/23/15 20:00,60.8
1/23/15 21:00,58.39
1/23/15 22:00,56.6
1/23/15 23:00,56.01
1/24/15 0:00,55.67
1/24/15 1:00,54.45
1/24/15 2:00,53.56
1/24/15 3:00,52.37
1/24/15 4:00,53.7
